R	-0.42190632
F	0.560747664
R	-0.104572347
F	0.560747664
R	-0.301263656
F	0.560747664
L	0.40095554
F	0.560747664
R	-0.022647119
F	0.560747664
L	0.196691579
F	0.560747664
L	0.252742323
F	0.560747664
R	-0.060453725
F	0.560747664
R	-0.049700043
F	0.560747664
R	-0.513367564
F	0.560747664
L	0.421584513
F	0.560747664
R	-0.39743088
F	0.560747664
L	0.435109662
F	0.560747664
L	0.115736705
F	0.560747664
R	-0.256396765
F	0.560747664
L	0.583906693
F	0.560747664
L	0.209311407
F	0.560747664
R	-0.023453771
F	0.560747664
R	-0.081395594
F	0.560747664
R	-0.191901275
F	0.560747664
R	-0.410149682
F	0.560747664
L	0.143918238
F	0.560747664
L	0.524115983
F	0.560747664
R	-0.027527581
F	0.560747664
L	0.239793677
F	0.560747664
R	-0.038178665
F	0.560747664
L	0.43977867
F	0.560747664
R	-0.663403957
F	0.560747664
L	0.200309311
F	0.560747664
